asset,horizon,policy,samples,median_cagr,mean_cagr,p10_cagr,worst_cagr,median_max_drawdown,win_rate_vs_lump,median_end_value
QQQ,1y,Lump sum now,453,0.25141083921655016,0.2216199580473872,-0.06968913425035177,-0.33334004400442685,-0.15685173118415907,0.0,348800.9377972064
QQQ,1y,DCA 3m,453,0.2344745399800623,0.19277355058015241,-0.06298227788821863,-0.3208231340003733,-0.13557728953575798,0.27593818984547464,344080.3481464092
QQQ,1y,DCA 6m,453,0.19683997801086695,0.16217240457264323,-0.05199359873866068,-0.2775317545763176,-0.12432366344375223,0.19646799116997793,333590.61120545334
QQQ,1y,DCA 12m,453,0.12756693229356553,0.10525171004724586,-0.05507466276967094,-0.21994886183352313,-0.09114261538075374,0.15011037527593818,314282.4011811655
QQQ,1y,50% now + DCA 6m,453,0.22373057295889898,0.18763425903987313,-0.05684001287762381,-0.2990255138287484,-0.13358398559341378,0.18763796909492272,341085.7234754337
QQQ,1y,70% now + buy 10% dip/6m,453,0.23605068731888856,0.2057297860809972,-0.07842859359681825,-0.3162228760459578,-0.1420160418305474,0.4194260485651214,344519.6616417545
QQQ,1y,Wait 5% dip/3m,453,0.2002007445740721,0.18317108161374082,-0.07068532651976143,-0.3158528692857001,-0.14615833957688085,0.4370860927152318,334527.3447642719
QQQ,1y,Wait 10% dip/6m,453,0.16673813436862517,0.1686527181594206,-0.0817508594825272,-0.3062920581465862,-0.1355772895357581,0.4194260485651214,325200.43991813087
QQQ,1y,Wait 20% dip/12m,453,0.0,0.12114246457380105,-1.1102230246251565e-16,-0.17722282678731816,-1.1102230246251565e-16,0.44150110375275936,278726.16
QQQ,1y,Trend entry 100d,453,0.23496042001754813,0.20862805520624647,-0.06968913425035177,-0.33334004400442685,-0.1355772895357581,0.026490066225165563,344215.7756234783
QQQ,1y,Buy lower: below 100d/6m,453,0.21777749606879993,0.20880783973145292,-0.0583875461852438,-0.31084345189979756,-0.15685173118415907,0.46799116997792495,339426.44521367166
QQQ,3y,Lump sum now,352,0.20095538185164163,0.1974960564948459,0.09967567334287994,0.06907598263768322,-0.2855935565825669,0.0,482790.113020937
QQQ,3y,DCA 3m,352,0.18979849890461675,0.18940137219045702,0.0916318599154734,0.058700122914395525,-0.2855935565825668,0.2755681818181818,469459.4801567223
QQQ,3y,DCA 6m,352,0.181531791004218,0.18106609568501852,0.08220370470325371,0.045669295325597936,-0.2855935565825668,0.20454545454545456,459743.7525753133
QQQ,3y,DCA 12m,352,0.16984503721439592,0.16432069284454467,0.05597587750200343,0.02263963361786736,-0.2855935565825669,0.19318181818181818,446234.09952667466
QQQ,3y,50% now + DCA 6m,352,0.18671041943357392,0.18630591513546654,0.09077132369109824,0.061052849376867835,-0.2817963610949786,0.17045454545454544,465814.2647364372
QQQ,3y,70% now + buy 10% dip/6m,352,0.18549493524848315,0.1932398434906693,0.10020536720708355,0.07032069680765107,-0.2855935565825669,0.42329545454545453,464384.32309404825
QQQ,3y,Wait 5% dip/3m,352,0.18170348615986187,0.18503936834199627,0.08766259884027694,0.04021473676333254,-0.2855935565825669,0.4034090909090909,459942.2870471268
QQQ,3y,Wait 10% dip/6m,352,0.16141182970739887,0.18206343440714623,0.07854810810612055,0.04043317750425435,-0.285593556582567,0.42329545454545453,436653.0207148933
QQQ,3y,Wait 20% dip/12m,352,0.16391323662728186,0.16446778184443042,0.014141183690973419,-0.021601720884972364,-0.285593556582567,0.4431818181818182,439480.4720755203
QQQ,3y,Trend entry 100d,352,0.19243820858712724,0.1932243992989933,0.09829981863302549,0.06907598263768322,-0.2855935565825669,0.03409090909090909,472592.33153937914
QQQ,3y,Buy lower: below 100d/6m,352,0.18205944367930305,0.19200244841050038,0.1032917802638689,0.04545070919569927,-0.285593556582567,0.4403409090909091,460358.0503781957
QQQ,5y,Lump sum now,251,0.18152699748338819,0.18882426012997616,0.141401647444247,0.11656945571391764,-0.3511872227135173,0.0,641794.4828401722
QQQ,5y,DCA 3m,251,0.17146121107757195,0.18219725774133397,0.13554056005074155,0.10815467776754506,-0.3511872227135173,0.22310756972111553,614918.1282585826
QQQ,5y,DCA 6m,251,0.16927162953078256,0.175098759410959,0.1290322943181863,0.10648909322461408,-0.3511872227135172,0.10358565737051793,609192.8443049552
QQQ,5y,DCA 12m,251,0.16200569288055533,0.161981575513243,0.11987536317239211,0.10152944745415193,-0.3511872227135173,0.07171314741035857,590498.7876740863
QQQ,5y,50% now + DCA 6m,251,0.1693965502649244,0.17941297863991948,0.1338524321330623,0.11024174094151418,-0.3473513088240965,0.06374501992031872,609518.3336002963
QQQ,5y,70% now + buy 10% dip/6m,251,0.17550444927339992,0.18533239839734122,0.1395875242332023,0.11954850332650024,-0.3511872227135173,0.3466135458167331,625603.4252953245
QQQ,5y,Wait 5% dip/3m,251,0.17701852662958095,0.17946593692407928,0.13303930945802445,0.10787340217622421,-0.3511872227135173,0.32669322709163345,629642.7770316805
QQQ,5y,Wait 10% dip/6m,251,0.17284049307866578,0.17631594304795878,0.1291449735833532,0.0984638571261367,-0.3511872227135173,0.3466135458167331,618546.6951694599
QQQ,5y,Wait 20% dip/12m,251,0.16272151871278573,0.16441259585809953,0.0983294051425565,0.05986508749283126,-0.3511872227135173,0.3904382470119522,592319.8432465661
QQQ,5y,Trend entry 100d,251,0.18098212578291695,0.18710408560079766,0.141401647444247,0.11656945571391764,-0.3511872227135173,0.0199203187250996,640316.0008836184
QQQ,5y,Buy lower: below 100d/6m,251,0.17844136110373143,0.1861958843122317,0.1402635084965873,0.11716337076329664,-0.3511872227135173,0.4860557768924303,633457.6958515137
Full-history AI/semis,1y,Lump sum now,453,0.5602930760059335,0.5900436095449361,-0.06806298000017667,-0.4751343674780172,-0.27427273626574233,0.0,434894.4975497219
Full-history AI/semis,1y,DCA 3m,453,0.4773420368212338,0.5029251034147177,-0.07518258460398815,-0.5128901788234126,-0.2737509872463856,0.293598233995585,411773.87292976107
Full-history AI/semis,1y,DCA 6m,453,0.40129259217023105,0.41674145950733915,-0.09259524449488511,-0.47340434059752257,-0.21520830120751255,0.2119205298013245,390576.90325205453
Full-history AI/semis,1y,DCA 12m,453,0.2833625776448938,0.26779542678782675,-0.09568461256142524,-0.35166857123485284,-0.15999686712623573,0.15673289183222958,357706.72315466305
Full-history AI/semis,1y,50% now + DCA 6m,453,0.4669270223072166,0.49204554203488876,-0.05497967920314082,-0.4316891976057784,-0.25904390941143984,0.19646799116997793,408870.9359279248
Full-history AI/semis,1y,70% now + buy 10% dip/6m,453,0.5494286524995313,0.5469954239748616,-0.06419018704561283,-0.46090609754398004,-0.2737509872463857,0.44370860927152317,431866.2985051687
Full-history AI/semis,1y,Wait 5% dip/3m,453,0.5481306402704238,0.5612132428931995,-0.09579430577801167,-0.5467782389269911,-0.2737509872463857,0.5474613686534217,431504.50854091655
Full-history AI/semis,1y,Wait 10% dip/6m,453,0.4367200557142541,0.44654965764468835,-0.05397119898457898,-0.5144878638357487,-0.2737509872463856,0.44370860927152317,400451.4641242201
Full-history AI/semis,1y,Wait 20% dip/12m,453,0.0,0.2116994675218147,-0.1284270086102793,-0.45488079718428565,-0.23372088902876176,0.2913907284768212,278726.16
Full-history AI/semis,1y,Trend entry 100d,453,0.5116031855966545,0.5440938881616875,-0.07620524310163489,-0.4751343674780172,-0.2737509872463857,0.024282560706401765,421323.35136512277
Full-history AI/semis,1y,Buy lower: below 100d/6m,453,0.43173707681634443,0.46490672872769623,-0.10019534563258428,-0.4768072690408478,-0.2737509872463856,0.3487858719646799,399062.5775506447
Full-history AI/semis,3y,Lump sum now,352,0.4395443697357856,0.49645810238507404,0.32533804264157395,0.21252199282295248,-0.41998141725727856,0.0,831482.1133236956
Full-history AI/semis,3y,DCA 3m,352,0.42385357727920625,0.4746900994794391,0.30351065636726415,0.18860614958903898,-0.41998141725727856,0.2727272727272727,804588.4843613153
Full-history AI/semis,3y,DCA 6m,352,0.4063391246132678,0.45309251307607246,0.2741452062900388,0.1658873255779747,-0.41998141725727844,0.20454545454545456,775260.9934843393
Full-history AI/semis,3y,DCA 12m,352,0.3885770896561659,0.41206989329480287,0.21428200970177033,0.10074610189753952,-0.4199814172572785,0.17329545454545456,746255.819301394
Full-history AI/semis,3y,50% now + DCA 6m,352,0.4225056442081009,0.469118239837416,0.2965672929856072,0.19156844148413232,-0.4158871169029587,0.17897727272727273,802305.5613299307
Full-history AI/semis,3y,70% now + buy 10% dip/6m,352,0.432981124721846,0.4863755293401588,0.3206727472496501,0.20357116133237896,-0.41998141725727856,0.4147727272727273,820161.3840633795
Full-history AI/semis,3y,Wait 5% dip/3m,352,0.4318418550414135,0.48896056620685274,0.330348233403027,0.12611112014488834,-0.41998141725727856,0.5255681818181818,818206.4865514871
Full-history AI/semis,3y,Wait 10% dip/6m,352,0.43162753354912153,0.4585401574000309,0.26035639423586765,0.12211764253778212,-0.41998141725727856,0.4147727272727273,817839.0789483226
Full-history AI/semis,3y,Wait 20% dip/12m,352,0.36311283000703287,0.356684291340435,0.1379324457885687,0.03298009005096225,-0.41998141725727856,0.2528409090909091,705949.6204844428
Full-history AI/semis,3y,Trend entry 100d,352,0.4334942692308936,0.48121419805727333,0.3100341540083952,0.21252199282295248,-0.41998141725727856,0.028409090909090908,821042.7008685574
Full-history AI/semis,3y,Buy lower: below 100d/6m,352,0.41948242572963657,0.45482378232181797,0.2583687859156492,0.15805532690272228,-0.41998141725727856,0.32670454545454547,797200.9210424556
Full-history AI/semis,5y,Lump sum now,251,0.4997342875898332,0.4722002034837942,0.2877865193114999,0.20725024194211406,-0.5952470344667571,0.0,2114702.7724899612
Full-history AI/semis,5y,DCA 3m,251,0.48362864188519805,0.4572585586762227,0.2868889100014034,0.2021857695395204,-0.5952470344667571,0.21115537848605578,2003566.567270684
Full-history AI/semis,5y,DCA 6m,251,0.46490709403936514,0.44165597955632335,0.2739472327818957,0.18883412876482564,-0.5952470344667571,0.12749003984063745,1880304.3133987184
Full-history AI/semis,5y,DCA 12m,251,0.4278476203098811,0.41317851204332195,0.2589017010690553,0.16979771341019045,-0.5952470344667571,0.08764940239043825,1654196.287948348
Full-history AI/semis,5y,50% now + DCA 6m,251,0.4767753226380509,0.45254179498834674,0.27849218503847073,0.19601555242670798,-0.5914360388822832,0.09163346613545817,1957716.7847847757
Full-history AI/semis,5y,70% now + buy 10% dip/6m,251,0.49483935078456165,0.4663479821754918,0.2926612538506441,0.21066477522583393,-0.5952470344667571,0.3784860557768924,2080416.746354648
Full-history AI/semis,5y,Wait 5% dip/3m,251,0.4971537409005493,0.46742541224709694,0.2961371905108383,0.20253685445704317,-0.5952470344667571,0.50199203187251,2096571.7546230094
Full-history AI/semis,5y,Wait 10% dip/6m,251,0.4750820968155318,0.450349416012073,0.28202100049977896,0.2154199950090414,-0.5952470344667571,0.3784860557768924,1946519.1982432841
Full-history AI/semis,5y,Wait 20% dip/12m,251,0.374044972686544,0.3876015742814842,0.24321631471218375,0.13185274361554744,-0.5952470344667571,0.19123505976095617,1365156.587067804
Full-history AI/semis,5y,Trend entry 100d,251,0.47971230782157637,0.46411274704647626,0.2877865193114999,0.20725024194211406,-0.5952470344667571,0.01593625498007968,1977261.7378231823
Full-history AI/semis,5y,Buy lower: below 100d/6m,251,0.4576542825701446,0.4487834781056169,0.2634194448797047,0.18587552073230174,-0.5952470344667571,0.3705179282868526,1834215.6563994996
